11,0,1,0.53289086180782297,27.34
4,0,1,0.94599767528678513,44.06
5,0,1,0.95390000806154385,39.96
6,0,1,0.95345054038954824,38.6
7,0,1,0.95408844506701185,38.58
11,0,2,0.55588580993879766,18.56
4,0,2,0.93031054527461265,21.14
5,0,2,0.95736910262851782,19.36
6,0,2,0.9590531886136795,18.86
7,0,2,0.9580624848592606,18.66
11,0,3,0.51178225487916518,15.14
4,0,3,0.9290789821615415,14.52
5,0,3,0.95861419059735486,12.22
6,0,3,0.9610399961174122,12.04
7,0,3,0.96205395556481532,12.06
11,0,4,0.48049952525385725,13.08
4,0,4,0.77748850140634185,13.4
5,0,4,0.96700264776303013,9.36
6,0,4,0.97382571961903719,8.96
7,0,4,0.97380170271006206,8.88
11,0,5,0.47431635096458757,11.32
4,0,5,0.64107835617537634,12.8
5,0,5,0.91982356523698738,10.2
6,0,5,0.97231556537481867,7.6
7,0,5,0.96925629014652293,7.24
11,0,6,0.47571530815276825,10.2
4,0,6,0.57287696150329703,11.0
5,0,6,0.75086967973963237,11.96
6,0,6,0.92545236358118965,8.92
7,0,6,0.9380335740904493,7.96
11,0,7,0.47542821977528521,9.68
4,0,7,0.53666221441953188,9.96
5,0,7,0.65827971335126878,10.0
6,0,7,0.78466608710918251,10.5
7,0,7,0.88368546976576856,8.46
