11,0.0,0.50858678386493927,14.84
4,0.0,0.91632137701195404,14.0
5,0.0,0.96108322815614644,12.36
6,0.0,0.96141202979967477,12.06
7,0.0,0.96199392766124869,12.02
11,0.01,0.54099683146032429,15.68
4,0.01,0.90402281627540948,15.0
5,0.01,0.96018122834425312,12.4
6,0.01,0.9584780830206836,12.14
7,0.01,0.95984427184871324,12.14
11,0.02,0.53719151617115168,18.16
4,0.02,0.93116865821370487,19.88
5,0.02,0.95477014967782847,15.64
6,0.02,0.95459552803481562,14.72
7,0.02,0.95364046929074098,14.94
11,0.03,0.56958225019058972,31.98
4,0.03,0.9124327601715031,50.36
5,0.03,0.92448675201688391,45.68
6,0.03,0.92592797112367775,43.28
7,0.03,0.92594900883738585,41.72
11,0.04,0.82558406619207669,74.12
4,0.04,0.90915330515507353,54.02
5,0.04,0.91009744841760754,44.52
6,0.04,0.90597945009797443,47.38
7,0.04,0.91007116632451301,51.52
11,0.05,0.89027297333413002,82.46
4,0.05,0.89822824898082831,51.54
5,0.05,0.89626183568786955,51.92
6,0.05,0.89526849509290485,48.22
7,0.05,0.89346031170076545,54.98
